block,ratio
1600,0.12359550561797752
1610,0.12273361227336123
1620,0.12188365650969529
1630,0.12258953168044077
1640,0.12175102599179206
1650,0.12092391304347826
1660,0.12086428089128967
1670,0.12080536912751678
1680,0.12074716477651767
1690,0.11994698475811796
1700,0.11915734035549704
1710,0.11910994764397906
1720,0.11833550065019506
1730,0.1182934712346477
1740,0.11825192802056556
1750,0.1182108626198083
1760,0.1181702668360864
1770,0.11813013265950727
1780,0.11738857501569366
1790,0.11735330836454431
1800,0.11731843575418995
1810,0.11659469463294263
1820,0.1165644171779141
1830,0.11585365853658537
1840,0.11718275652701882
1850,0.11647555823777912
1860,0.11711711711711711
1870,0.1177525403466826
1880,0.11771700356718193
1890,0.11768184506209343
1900,0.11699000587889477
1910,0.11761263897015799
1920,0.11757857974388825
1930,0.11884057971014493
1940,0.11815561959654179
1950,0.11811926605504587
1960,0.11744583808437856
1970,0.11741349971639252
1980,0.11801242236024845
1990,0.11860595840359753
2000,0.1185682326621924
2010,0.11915367483296214
2020,0.1197339246119734
2030,0.12030905077262694
2040,0.12087912087912088
2050,0.12083105522143248
2060,0.12017400761283306
2070,0.11952406706327745
2080,0.11888111888111888
2090,0.11884368308351177
2100,0.1182108626198083
2110,0.11876988335100742
2120,0.11873350923482849
2130,0.11869747899159663
2140,0.1192468619246862
2150,0.1186264308012487
2160,0.11801242236024845
2170,0.11740473738414006
2180,0.1168032786885246
2190,0.11677715451300356
2200,0.11788617886178862
2210,0.11842105263157894
2220,0.11838790931989925
2230,0.11891620672353237
2240,0.11944027986006997
2250,0.11940298507462686
2260,0.1199207135777998
2270,0.11988159842131228
2280,0.11984282907662082
2290,0.11925708699902249
2300,0.12031173891865563
2310,0.12135922330097088
2320,0.12131464475592073
2330,0.12127045235803657
2340,0.12122664111164351
2350,0.12118320610687022
2360,0.12167300380228137
2370,0.12109744560075686
2380,0.1210551106924164
2390,0.12101313320825516
2400,0.12044817927170869
2410,0.12145183806421592
2420,0.12244897959183673
2430,0.12188365650969529
2440,0.12287160607455132
2450,0.12230874942739349
2460,0.12175102599179206
2470,0.12221717401181281
2480,0.12267994567677683
2490,0.12212708427219468
2500,0.12208258527827648
2510,0.12203844434510505
2520,0.12249443207126949
2530,0.12195121951219512
2540,0.12240388864339373
2550,0.12186537615486141
2560,0.12133158125273763
2570,0.1212914485165794
