block,ratio
1230,0.17478510028653296
1240,0.17535545023696683
1250,0.17481203007518797
1260,0.17537313432835822
1270,0.17375231053604437
1280,0.1753902662993572
1290,0.17593436645396535
1300,0.17647058823529413
1310,0.17699910152740342
1320,0.17752007136485282
1330,0.17803365810451727
1340,0.1785400175901495
1350,0.17903930131004367
1360,0.17850953206239167
1370,0.17900172117039587
1380,0.17747440273037543
1390,0.17696867061812024
1400,0.17647058823529413
1410,0.17597998331943285
1420,0.17549668874172186
1430,0.17502054231717337
1440,0.17647058823529413
1450,0.17694805194805194
1460,0.17647058823529413
1470,0.176
1480,0.1755361397934869
1490,0.1750788643533123
1500,0.17647058823529413
1510,0.17601246105919002
1520,0.17556071152358854
1530,0.17511520737327188
1540,0.17378048780487804
1550,0.17424242424242425
1560,0.17558402411454407
1570,0.17779444861215304
1580,0.17647058823529413
1590,0.17865085248332097
1600,0.17733627667402502
1610,0.17862371888726208
1620,0.1798980335032775
1630,0.17859725234996385
1640,0.1773151471643934
1650,0.1768901569186876
1660,0.17563739376770537
1670,0.176056338028169
1680,0.17647058823529413
1690,0.17606123869171886
1700,0.17647058823529413
1710,0.17606602475928473
1720,0.17566643882433355
1730,0.1760707002039429
1740,0.17567567567567569
1750,0.17528542646071188
1760,0.1741160773849233
1770,0.1760797342192691
1780,0.17491749174917492
1790,0.1737704918032787
1800,0.17340286831812254
1810,0.17380025940337224
1820,0.17495158166559072
1830,0.17458279845956354
1840,0.17496807151979565
1850,0.17534942820838628
1860,0.1749842072015161
1870,0.17462311557788945
1880,0.17573483427141964
1890,0.1761045426260112
1900,0.17574257425742573
1910,0.1753846153846154
1920,0.17503059975520197
1930,0.17754728492983526
1940,0.17718446601941748
1950,0.1768255884127942
1960,0.1757648470305939
1970,0.1768219832735962
1980,0.17577197149643706
1990,0.17612293144208038
2000,0.17647058823529413
2010,0.17681498829039813
2020,0.17921774664331583
2030,0.18023255813953487
2040,0.1812391430225825
2050,0.18087557603686635
2060,0.17983963344788087
2070,0.18015963511972635
2080,0.17980714690867838
2090,0.1787930062041737
2100,0.17845117845117844
2110,0.17811278615298715
2120,0.1784324624791551
2130,0.17940199335548174
2140,0.1790633608815427
2150,0.1793746571585299
2160,0.1796832332058984
2170,0.1793478260869565
2180,0.17965367965367965
2190,0.17932148626817448
2200,0.1789924973204716
2210,0.17866666666666667
2220,0.179596174282678
2230,0.17989417989417988
2240,0.18018967334035826
2250,0.1792452830188679
2260,0.17892540427751696
2270,0.17983367983367984
2280,0.17951370926021729
2290,0.18041237113402062
2300,0.1806981519507187
2310,0.18098159509202455
2320,0.1806615776081425
2330,0.18034447821681865
2340,0.18062563067608475
2350,0.18090452261306533
2360,0.18236472945891782
2370,0.1832251622566151
2380,0.18349080059671805
2390,0.18375433382862805
2400,0.18401578687715836
2410,0.18427518427518427
2420,0.18395303326810175
2430,0.18421052631578946
2440,0.18561710398445092
2450,0.18586640851887706
2460,0.18497109826589594
2470,0.1852207293666027
2480,0.18490205446727187
2490,0.1840228245363766
2500,0.1842728564661298
2510,0.18452100047192072
2520,0.18588235294117647
2530,0.18556701030927836
2540,0.18525431637890807
2550,0.18494423791821563
2560,0.18408880666049954
2570,0.18433179723502305
2580,0.18511713367018834
2590,0.1848124428179323
2600,0.18505013673655424
2610,0.1858246251703771
2620,0.1860570393843368
2630,0.18575293056807934
2640,0.18491921005385997
2650,0.1851520572450805
2660,0.18485523385300667
2670,0.18508655126498003
